pollster_id,pollster,numeric_grade,methodology,state,start_date,end_date,sample_size,pct,party,answer
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,,2024-10-23,10/24/24,1000,49.3,DEM,Harris
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,,2024-10-23,10/24/24,1000,49.3,REP,Trump
1102,Emerson,2.9,Online Panel/Text-to-Web,New Hampshire,2024-10-21,10/23/24,915,50.9,DEM,Harris
1102,Emerson,2.9,Online Panel/Text-to-Web,New Hampshire,2024-10-21,10/23/24,915,47.2,REP,Trump
1424,Siena/NYT,3,Live Phone,,2024-10-20,10/23/24,2516,47,DEM,Harris
1424,Siena/NYT,3,Live Phone,,2024-10-20,10/23/24,2516,47,REP,Trump
1424,Siena/NYT,3,Live Phone,,2024-10-20,10/23/24,2516,45,DEM,Harris
1424,Siena/NYT,3,Live Phone,,2024-10-20,10/23/24,2516,46,REP,Trump
1424,Siena/NYT,3,Live Phone,,2024-10-20,10/23/24,2516,48,DEM,Harris
1424,Siena/NYT,3,Live Phone,,2024-10-20,10/23/24,2516,48,REP,Trump
1424,Siena/NYT,3,Live Phone,,2024-10-20,10/23/24,2516,46,DEM,Harris
1424,Siena/NYT,3,Live Phone,,2024-10-20,10/23/24,2516,47,REP,Trump
1866,CNN/SSRS,2.8,Probability Panel,,2024-10-20,10/23/24,1704,47,DEM,Harris
1866,CNN/SSRS,2.8,Probability Panel,,2024-10-20,10/23/24,1704,47,REP,Trump
1866,CNN/SSRS,2.8,Probability Panel,,2024-10-20,10/23/24,1704,47,DEM,Harris
1866,CNN/SSRS,2.8,Probability Panel,,2024-10-20,10/23/24,1704,46,REP,Trump
1102,Emerson,2.9,Online Panel/Text-to-Web,Pennsylvania,2024-10-21,10/22/24,860,49,DEM,Harris
1102,Emerson,2.9,Online Panel/Text-to-Web,Pennsylvania,2024-10-21,10/22/24,860,50.7,REP,Trump
1102,Emerson,2.9,Online Panel/Text-to-Web,North Carolina,2024-10-21,10/22/24,950,48.2,DEM,Harris
1102,Emerson,2.9,Online Panel/Text-to-Web,North Carolina,2024-10-21,10/22/24,950,50.2,REP,Trump
1102,Emerson,2.9,Online Panel/Text-to-Web,Wisconsin,2024-10-21,10/22/24,800,49.2,DEM,Harris
1102,Emerson,2.9,Online Panel/Text-to-Web,Wisconsin,2024-10-21,10/22/24,800,49.9,REP,Trump
568,YouGov,3,Online Panel,,2024-10-19,10/22/24,1422,48,DEM,Harris
568,YouGov,3,Online Panel,,2024-10-19,10/22/24,1422,46,REP,Trump
568,YouGov,3,Online Panel,,2024-10-19,10/22/24,1293,49,DEM,Harris
568,YouGov,3,Online Panel,,2024-10-19,10/22/24,1293,46,REP,Trump
