pollster,methodology,state,sample_size,pct,answer,end_date,end_date_num
SurveyUSA,Live Phone,Nevada,675,50.16077459625915,Trump,2024-09-04,0.45454545454545453
Emerson College,Online Panel,Florida,161,49.74466067474118,Harris,2024-10-08,0.797979797979798
Siena/NYT,Probability Panel,Florida,702,48.88851320471734,Trump,2024-08-01,0.1111111111111111
Emerson College,Live Phone/Text to Web,Georgia,127,53.37366160562031,Harris,2024-10-01,0.7272727272727273
Emerson College,Live Phone,Florida,915,49.41164581390264,Harris,2024-08-22,0.32323232323232326
Siena/NYT,Live Phone,Nevada,1133,48.477322405839246,Harris,2024-10-16,0.8787878787878788
Emerson College,Live Phone/Text to Web,California,675,50.75096201659818,Harris,2024-10-08,0.797979797979798
YouGov,Online Panel,Florida,399,51.3236237699756,Harris,2024-08-01,0.1111111111111111
Emerson College,Live Phone,California,276,50.25060602204877,Harris,2024-09-29,0.7070707070707071
Emerson College,Online Panel,Florida,124,48.299152074631984,Harris,2024-10-25,0.9696969696969697
SurveyUSA,Live Phone/Text to Web,New York,148,51.453411417035866,Trump,2024-09-01,0.42424242424242425
YouGov,Probability Panel,Florida,276,49.38413345783562,Trump,2024-08-13,0.23232323232323232
Siena/NYT,Live Phone,Georgia,161,50.61016624841484,Harris,2024-09-15,0.5656565656565656
YouGov,Live Phone,Nevada,563,47.8828442081424,Trump,2024-09-07,0.48484848484848486
YouGov,Online Panel,Nevada,2180,51.17112793456401,Trump,2024-09-27,0.6868686868686869
Siena/NYT,Live Phone,Georgia,127,47.67369100114579,Harris,2024-09-12,0.5353535353535354
SurveyUSA,Live Phone/Text to Web,Georgia,452,50.48710718999565,Trump,2024-07-30,0.09090909090909091
Emerson College,Live Phone,Florida,124,49.96161503904305,Harris,2024-10-13,0.8484848484848485
Emerson College,Probability Panel,New York,904,52.01521857974864,Trump,2024-09-01,0.42424242424242425
YouGov,Live Phone/Text to Web,Florida,227,50.43008206607767,Trump,2024-08-15,0.25252525252525254
SurveyUSA,Probability Panel,California,439,49.37107323945414,Harris,2024-08-24,0.3434343434343434
YouGov,Live Phone/Text to Web,Florida,395,54.10811140020839,Trump,2024-09-08,0.494949494949495
Siena/NYT,Probability Panel,California,47,46.64853639619702,Trump,2024-10-28,1
Emerson College,Live Phone,New York,113,49.4919566309934,Harris,2024-09-02,0.43434343434343436
YouGov,Probability Panel,Florida,124,46.67819810947627,Harris,2024-10-25,0.9696969696969697
Siena/NYT,Online Panel,Florida,655,54.7585939921181,Trump,2024-08-12,0.2222222222222222
Emerson College,Live Phone/Text to Web,Nevada,655,51.06759955599564,Harris,2024-09-20,0.6161616161616161
Emerson College,Live Phone,California,97,49.674597066035844,Harris,2024-09-18,0.5959595959595959
YouGov,Probability Panel,Nevada,2180,49.73948332749695,Trump,2024-09-08,0.494949494949495
Emerson College,Live Phone,Nevada,276,50.38042368284144,Harris,2024-10-20,0.9191919191919192
Siena/NYT,Live Phone,New York,894,50.4533303701352,Trump,2024-09-22,0.6363636363636364
Emerson College,Probability Panel,New York,101,49.07758845788678,Trump,2024-08-10,0.20202020202020202
Siena/NYT,Probability Panel,Florida,107,52.21551555237587,Harris,2024-08-22,0.32323232323232326
YouGov,Probability Panel,New York,74,49.578993177894006,Harris,2024-09-28,0.696969696969697
Emerson College,Online Panel,California,145,52.3924218937457,Trump,2024-09-07,0.48484848484848486
Siena/NYT,Live Phone,Georgia,142,49.46964596327102,Harris,2024-08-04,0.1414141414141414
YouGov,Probability Panel,Georgia,47,47.88381477414757,Harris,2024-08-18,0.2828282828282828
Emerson College,Live Phone,California,127,47.90207327443989,Harris,2024-08-10,0.20202020202020202
YouGov,Live Phone,New York,915,52.68850265760117,Harris,2024-09-27,0.6868686868686869
Siena/NYT,Live Phone/Text to Web,California,127,52.074064900035395,Trump,2024-08-17,0.2727272727272727
Siena/NYT,Probability Panel,Florida,51,47.62624910739362,Trump,2024-09-11,0.5252525252525253
Siena/NYT,Live Phone,Nevada,1943,52.091097870169406,Harris,2024-09-06,0.47474747474747475
SurveyUSA,Live Phone,New York,176,48.16029993650481,Trump,2024-07-26,0.050505050505050504
YouGov,Live Phone,California,113,51.502141075437876,Trump,2024-07-30,0.09090909090909091
Emerson College,Probability Panel,Nevada,74,46.04523247155657,Trump,2024-10-05,0.7676767676767676
SurveyUSA,Online Panel,New York,702,49.23187623630561,Trump,2024-09-11,0.5252525252525253
Emerson College,Live Phone/Text to Web,Georgia,2180,51.799532623746344,Trump,2024-08-24,0.3434343434343434
SurveyUSA,Probability Panel,California,97,49.78213320006107,Trump,2024-08-16,0.26262626262626265
YouGov,Live Phone/Text to Web,Georgia,145,51.35158723207755,Trump,2024-08-12,0.2222222222222222
SurveyUSA,Online Panel,California,675,51.98423964815013,Trump,2024-07-29,0.08080808080808081
Emerson College,Live Phone/Text to Web,Georgia,395,52.26259505419734,Harris,2024-10-26,0.9797979797979798
Siena/NYT,Online Panel,New York,101,53.263495500232764,Trump,2024-09-10,0.5151515151515151
SurveyUSA,Probability Panel,Georgia,94,47.42593963721983,Trump,2024-08-17,0.2727272727272727
Siena/NYT,Probability Panel,California,894,50.212973445089496,Harris,2024-08-06,0.16161616161616163
Siena/NYT,Live Phone/Text to Web,California,28,48.24490601476649,Trump,2024-09-07,0.48484848484848486
YouGov,Online Panel,California,439,47.482996973153774,Trump,2024-10-17,0.8888888888888888
Emerson College,Live Phone/Text to Web,New York,2087,48.26479921025599,Trump,2024-10-07,0.7878787878787878
Emerson College,Live Phone/Text to Web,Georgia,94,48.07656238847463,Harris,2024-09-14,0.5555555555555556
Emerson College,Live Phone,Nevada,571,52.613435308975546,Harris,2024-10-18,0.898989898989899
Siena/NYT,Live Phone/Text to Web,Georgia,191,51.028297829879214,Trump,2024-07-27,0.06060606060606061
